Region,Segment,Year,Market,EV,ICE,NGV,EV_Share,ICE_Share,NGV_Share
China,LCV,2019,2593441.125,67238.07886735034,2526203.0461326498,0.0,0.025926202148641542,0.9740737978513585,0.0
China,LCV,2020,2646332.875,89712.91923941947,2556619.9557605805,0.0,0.03390084448065494,0.966099155519345,0.0
China,LCV,2021,2699224.625,119335.55743301846,2579889.0675669815,0.0,0.044211050954315614,0.9557889490456843,0.0
China,LCV,2022,2752116.375,158137.17986049206,2593979.1951395078,0.0,0.05746020818632427,0.9425397918136756,0.0
China,LCV,2023,2805008.125,208563.40856352422,2596444.716436476,0.0,0.07435394097602631,0.9256460590239738,0.0
China,LCV,2024,2857899.875,273449.85562356823,2584450.0193764316,0.0,0.09568209789839759,0.9043179021016023,0.0
China,LCV,2025,2910791.625,355913.7398816106,2554877.8851183895,0.0,0.12227386420407563,0.8777261357959244,0.0
China,LCV,2026,2963683.375,459121.5269921458,2504561.848007854,0.0,0.1549158492654924,0.8450841507345076,0.0
China,LCV,2027,3016575.125,585900.6731955536,2430674.4518044465,0.0,0.19422711151460337,0.8057728884853966,0.0
China,LCV,2028,3069466.875,738196.1821404517,2331270.692859548,0.0,0.24049654620900632,0.7595034537909936,0.0
China,LCV,2029,3122358.625,916436.6694751033,2205921.9555248967,0.0,0.2935078187807793,0.7064921812192206,0.0
China,LCV,2030,3175250.375,1118959.1932133336,2056291.1817866664,0.0,0.3524003026732447,0.6475996973267554,0.0
China,LCV,2031,3228142.125,1341707.2759496982,1886434.8490503018,0.0,0.4156283162252957,0.5843716837747043,0.0
China,LCV,2032,3281033.875,1578401.980737706,1702631.894262294,0.0,0.481068480506836,0.5189315194931641,0.0
China,LCV,2033,3333925.625,1821253.7337738364,1512671.8912261636,0.0,0.5462790531728903,0.45372094682710973,0.0
China,LCV,2034,3386817.375,2062070.7787140606,1324746.5962859394,0.0,0.6088520727262599,0.39114792727374015,0.0
China,LCV,2035,3439709.125,2293444.5328661916,1146264.5921338084,0.0,0.6667553707368182,0.33324462926318177,0.0
China,LCV,2036,3492600.875,2509665.821797306,982935.0532026938,0.0,0.7185664528006814,0.28143354719931857,0.0
China,LCV,2037,3545492.625,2707162.5075857476,838330.1174142524,0.0,0.7635504551601621,0.236449544839838,0.0
China,LCV,2038,3598384.375,2884452.8718042187,713931.5031957813,0.0,0.8015966531658305,0.1984033468341695,0.0
China,LCV,2039,3651276.125,3041762.085292088,609514.0397079121,0.0,0.8330682153741763,0.1669317846258237,0.0
China,LCV,2040,3704167.875,3180496.519265568,523671.3557344321,0.0,0.8586264517683524,0.1413735482316476,0.0
China,MCV,2019,156650.0,2695.08179673145,153794.7593573329,160.1588459356512,0.01720448003020396,0.9817731206979438,0.0010223992718522259
China,MCV,2020,160407.0,3423.6708358985607,156819.32916410145,164.0,0.02134364981514872,0.9776339509129991,0.0010223992718522259
China,MCV,2021,164164.0,4341.649328683011,159654.50951725265,167.8411540643488,0.026447024491867956,0.9725305762362799,0.0010223992718522259
China,MCV,2022,167921.0,5494.7875736082715,162254.53011826304,171.68230812869763,0.03272245623601736,0.9662551444921305,0.0010223992718522259
China,MCV,2023,171678.0,6938.172393110387,164564.30414469657,175.52346219304644,0.040413870112130774,0.958563730616017,0.0010223992718522259
China,MCV,2024,175435.0,8737.186455641508,166518.4489281011,179.36461625739526,0.04980298375832364,0.9491746169698242,0.0010223992718522259
China,MCV,2025,169482.6,10373.77512624994,158935.54598691844,173.27888683162206,0.06120849648429951,0.9377691042438483,0.0010223992718522259
China,MCV,2026,177956.73,13343.42012856959,164431.36704025723,181.94283117320316,0.07498126161662776,0.9239963391115201,0.0010223992718522259
China,MCV,2027,186706.0,17082.4085274965,169432.70339405307,190.88807845044167,0.0914936238122851,0.9074839769158627,0.0010223992718522259
China,MCV,2028,190463.0,21164.431753090863,169103.83901439433,194.72923251479048,0.11112096183033378,0.8878566388978139,0.0010223992718522259
China,MCV,2029,194220.0,26066.99650979072,167954.43310363014,198.5703865791393,0.1342137602192911,0.8647638405088567,0.0010223992718522259
China,MCV,2030,197977.0,31886.08382286138,165910.58799504253,180.32818209609474,0.16105953632422645,0.8380296094750528,0.0009108542007207642
China,MCV,2031,201734.0,38699.83104047369,162870.46608725106,163.70287227524813,0.19183593762317552,0.8073525835369896,0.0008114788398348722
China,MCV,2032,205491.0,46555.90605063836,158786.53516420926,148.55878515239357,0.22655934347800322,0.77271771106379,0.0007229454582068975
China,MCV,2033,209248.0,55458.44456976802,153654.78482354042,134.77060669153465,0.26503691585949696,0.734319012958501,0.0006440711820019052
China,MCV,2034,213005.0,65356.989391026385,147525.78787339968,122.22273557395447,0.3068331231239942,0.6925930746855693,0.0005738021904366304
China,MCV,2035,216761.99999999997,76140.38786584516,140510.8034786722,110.80865548261609,0.3512626192129855,0.6482261811510883,0.000511199635926113
China,MCV,2036,220519.00000000003,87638.3071624035,132780.26250885215,100.43032874437111,0.39741839552330405,0.6021261773763354,0.00045542710036038206
China,MCV,2037,224276.0,99631.67943732296,124553.32294853563,90.9976141414029,0.4442369198546566,0.555357340725426,0.0004057394199174361
