year,auto_total,auto_oem,auto_repl,auto_ice,auto_bev,grid_generation_oem,grid_gen_wind,grid_gen_solar,grid_gen_fossil,construction_total,construction_oem,construction_repl,grid_td_total,grid_td_oem,grid_td_repl,industrial_total,industrial_oem,industrial_repl,electronics_total,electronics_oem,electronics_repl,other_uses,total_demand,share_transport_calc,share_ev_calc,automotive_confidence,grid_generation_confidence,construction_confidence,grid_td_confidence,industrial_confidence,electronics_confidence,other_uses_confidence,total_oem,total_replacement
2020,1694000.0,1694000.0,0,1577800.0,116200.00000000001,1096666.6666666665,399999.99999999994,666666.6666666665,30000.0,10456331.87248604,6796615.717115926,3659716.155370114,6219125.492785815,4353387.844950071,1865737.647835745,3703284.204838806,2221970.5229032836,1481313.6819355222,3523886.354085369,3523886.354085369,0,4556705.409137298,31250000.0,0.054208,0.0037184000000000006,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,19686527.105721317,7006767.485141382
2021,1833000.0,1833000.0,0,1540425.0,292575.00000000006,1202533.3333333333,440000.0,733333.3333333333,29200.0,10563223.194362147,6866095.076335396,3697128.1180267516,6158010.357318671,4310607.25012307,1847403.107195602,3741141.5480032605,2244684.9288019566,1496456.6192013042,3559909.777511753,3559909.777511753,0,4442181.789470835,31500000.0,0.05819047619047619,0.00928809523809524,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,20016830.366105508,7040987.844423658
2022,1973800.0000000002,1973800.0000000002,0,1502360.0000000002,471440.0,1308399.9999999998,479999.9999999999,799999.9999999999,28400.0,10670772.136830969,6936001.88894013,3734770.2478908394,6096730.91537133,4267711.640759931,1829019.274611399,3779231.7984609683,2267539.079076581,1511692.7193843874,3596154.8255251427,3596154.8255251427,0,4324910.323811591,31750000.0,0.062166929133858274,0.014848503937007875,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,20349607.434301786,7075482.241886625
2023,2116400.0,2116400.0,0,1463605.0,652795.0000000001,1414266.6666666665,519999.99999999994,866666.6666666665,27600.0,10778993.214113096,7006345.5891735125,3772647.6249395837,6035285.387465765,4224699.7712260345,1810585.6162397298,3817560.096665055,2290536.057999033,1527024.038666022,3632626.3895601733,3632626.3895601733,0,4204868.245529241,32000000.0,0.0661375,0.020399843750000004,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,20684874.47462542,7110257.2798453355
2024,2260800.0,2260800.0,0,1424160.0,836639.9999999999,1520133.333333333,559999.9999999999,933333.3333333331,26800.0,10887901.395517824,7077135.907086586,3810765.4884312386,5973671.89728498,4181570.3280994855,1792101.5691854944,3856131.744245896,2313679.0465475377,1542452.6976983584,3669329.5144208353,3669329.5144208353,0,4082032.1151971323,32250000.0,0.07010232558139536,0.025942325581395344,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,21022648.129487775,7145319.755315091
2025,2407000.0,2407000.0,0,1384025.0,1022974.9999999999,1625999.9999999998,599999.9999999999,999999.9999999999,26000.0,10997512.12272955,7148382.879774207,3849129.2429553424,5911888.469067237,4138321.9283470665,1773566.5407201713,3894952.210133382,2336971.3260800294,1557980.8840533528,3706269.404106159,3706269.404106159,0,3956377.793963673,32500000.0,0.07406153846153846,0.03147615384615384,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,21362945.538307462,7180676.667728867
2026,2555000.0,2555000.0,0,1343200.0,1211800.0,1731866.6666666665,640000.0,1066666.6666666665,25200.0,11107841.3279099,7220096.863141434,3887744.4647684647,5849933.024842536,4094953.117389775,1754979.9074527612,3934027.1369680893,2360416.2821808537,1573610.8547872358,3743451.4279108117,3743451.4279108117,0,3827880.4157019993,32750000.0,0.07801526717557251,0.03700152671755725,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,21705784.35728954,7216335.227008462
2027,2704800.0,2704800.0,0,1301685.0,1403114.9999999998,1837733.333333333,679999.9999999999,1133333.333333333,24400.0,11218905.452659959,7292288.544228974,3926616.908430986,5787803.381504007,4051462.367052804,1736341.0144512025,3973362.347817069,2384017.4086902416,1589344.9391268278,3780881.12681555,3780881.12681555,0,3696514.357870079,33000000.0,0.08196363636363636,0.042518636363636356,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,22051182.7801209,7252302.862009016
2028,2856400.0,2856400.0,0,1259480.0,1596920.0,1943599.9999999995,719999.9999999999,1199999.9999999998,23600.0,11330721.467889907,7364968.95412844,3965752.5137614678,5725497.247706422,4007848.073394495,1717649.1743119264,4012963.853211009,2407778.311926605,1605185.5412844035,3818564.220183486,3818564.220183486,0,3562253.211009174,33250000.0,0.08590676691729324,0.04802766917293233,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,22399159.559633024,7288587.229357798
2029,3009800.0,3009800.0,0,1216584.9999999998,1793215.0000000005,2049466.6666666665,760000.0,1266666.6666666665,22800.0,11443306.8946463,7438149.481520095,4005157.413126205,5663012.22058338,3964108.554408366,1698903.6661750146,4052837.8585205646,2431702.715112339,1621135.1434082258,3856506.612779084,3856506.612779084,0,3425069.746804002,33500000.0,0.08984477611940299,0.053528805970149265,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,22749734.03048655,7325196.222709445
2030,3165000.0,3165000.0,0,1172999.9999999998,1992000.0,2155333.333333333,799999.9999999999,1333333.333333333,22000.0,11556679.825950583,7511841.886867879,4044837.939082704,5600345.782274226,3920242.0475919573,1680103.7346822682,4092990.7716908315,2455794.463014499,1637196.3086763327,3894714.4021279537,3894714.4021279537,0,3284935.884623072,33750000.0,0.09377777777777778,0.05902222222222222,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,23102926.132935625,7362137.982441304
