year,auto_total,auto_oem,auto_repl,auto_ice,auto_bev,grid_generation_oem,grid_gen_wind,grid_gen_solar,grid_gen_fossil,construction_total,construction_oem,construction_repl,grid_td_total,grid_td_oem,grid_td_repl,industrial_total,industrial_oem,industrial_repl,electronics_total,electronics_oem,electronics_repl,other_uses,total_demand,share_transport_calc,share_ev_calc,automotive_confidence,grid_generation_confidence,construction_confidence,grid_td_confidence,industrial_confidence,electronics_confidence,other_uses_confidence,total_oem,total_replacement
2020,1694000.0,1694000.0,0,1577800.0,116200.00000000001,830000.0,300000.0,500000.0,30000.0,8160000.0,5304000.0,2856000.0,5120000.0,3584000.0,1536000.0,2890000.0,1734000.0,1156000.0,2750000.0,2750000.0,0,3556000.0,25000000.0,0.06776,0.004648,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,15896000.0,5548000.0
2021,1833000.0,1833000.0,0,1540425.0,292575.00000000006,909200.0,330000.0,550000.0,29200.0,8225280.0,5346432.0,2878848.0,5088400.0,3561880.0,1526520.0,2913120.0,1747872.0,1165248.0,2772000.0,2772000.0,0,3459000.0,25200000.0,0.07273809523809524,0.01161011904761905,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,16170384.0,5570616.0
2022,1973800.0000000002,1973800.0000000002,0,1502360.0000000002,471440.0,988400.0,360000.0,600000.0,28400.0,8290560.0,5388864.0,2901696.0,5056800.0,3539760.0,1517040.0,2936240.0,1761744.0,1174496.0,2794000.0,2794000.0,0,3360200.0,25400000.0,0.07770866141732284,0.01856062992125984,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,16446568.0,5593232.0
2023,2116400.0,2116400.0,0,1463605.0,652795.0000000001,1067600.0,390000.0,650000.0,27600.0,8355840.0,5431296.0,2924544.0,5025200.0,3517640.0,1507560.0,2959360.0,1775616.0,1183744.0,2816000.0,2816000.0,0,3259600.0,25600000.0,0.082671875,0.025499804687500006,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,16724552.0,5615848.0
2024,2260800.0,2260800.0,0,1424160.0,836639.9999999999,1146800.0,420000.0,700000.0,26800.0,8421120.0,5473728.0,2947392.0,4993600.0,3495520.0,1498080.0,2982480.0,1789488.0,1192992.0,2838000.0,2838000.0,0,3157200.0,25800000.0,0.08762790697674419,0.032427906976744185,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,17004336.0,5638464.0
2025,2407000.0,2407000.0,0,1384025.0,1022974.9999999999,1226000.0,450000.0,750000.0,26000.0,8486400.0,5516160.0,2970240.0,4962000.0,3473400.0,1488600.0,3005600.0,1803360.0,1202240.0,2860000.0,2860000.0,0,3053000.0,26000000.0,0.09257692307692307,0.0393451923076923,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,17285920.0,5661080.0
2026,2555000.0,2555000.0,0,1343200.0,1211800.0,1305200.0,480000.0,800000.0,25200.0,8551680.0,5558592.0,2993088.0,4930400.0,3451280.0,1479120.0,3028720.0,1817232.0,1211488.0,2882000.0,2882000.0,0,2947000.0,26200000.0,0.09751908396946565,0.04625190839694657,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,17569304.0,5683696.0
2027,2704800.0,2704800.0,0,1301685.0,1403114.9999999998,1384400.0,510000.0,850000.0,24400.0,8616960.0,5601024.0,3015936.0,4898800.0,3429160.0,1469640.0,3051840.0,1831104.0,1220736.0,2904000.0,2904000.0,0,2839200.0,26400000.0,0.10245454545454545,0.05314829545454545,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,17854488.0,5706312.0
2028,2856400.0,2856400.0,0,1259480.0,1596920.0,1463600.0,540000.0,900000.0,23600.0,8682240.0,5643456.0,3038784.0,4867200.0,3407040.0,1460160.0,3074960.0,1844976.0,1229984.0,2926000.0,2926000.0,0,2729600.0,26600000.0,0.10738345864661654,0.06003458646616541,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,18141472.0,5728928.0
2029,3009800.0,3009800.0,0,1216584.9999999998,1793215.0000000005,1542800.0,570000.0,950000.0,22800.0,8747520.0,5685888.0,3061632.0,4835600.0,3384920.0,1450680.0,3098080.0,1858848.0,1239232.0,2948000.0,2948000.0,0,2618200.0,26800000.0,0.11230597014925373,0.06691100746268658,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,18430256.0,5751544.0
2030,3165000.0,3165000.0,0,1172999.9999999998,1992000.0,1622000.0,600000.0,1000000.0,22000.0,8812800.0,5728320.0,3084480.0,4804000.0,3362800.0,1441200.0,3121200.0,1872720.0,1248480.0,2970000.0,2970000.0,0,2505000.0,27000000.0,0.11722222222222223,0.07377777777777778,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,18720840.0,5774160.0
2031,3322000.0,3322000.0,0,1128725.0000000002,2193274.9999999995,1701200.0,630000.0,1050000.0,21200.0,8878080.0,5770752.0,3107328.0,4772400.0,3340680.0,1431720.0,3144320.0,1886592.0,1257728.0,2992000.0,2992000.0,0,2390000.0,27200000.0,0.12213235294117647,0.08063511029411763,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,19013224.0,5796776.0
2032,3480800.0,3480800.0,0,1083760.0,2397040.0,1780400.0,660000.0,1100000.0,20400.0,8943360.0,5813184.0,3130176.0,4740800.0,3318560.0,1422240.0,3167440.0,1900464.0,1266976.0,3014000.0,3014000.0,0,2273200.0,27400000.0,0.12703649635036496,0.08748321167883212,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,19307408.0,5819392.0
2033,3641400.0,3641400.0,0,1038105.0,2603295.0,1859600.0,690000.0,1150000.0,19600.0,8986924.006428197,5841500.604178328,3145423.402249869,4697848.124808147,3288493.687365703,1409354.437442444,3182868.91894332,1909721.3513659919,1273147.5675773278,3028681.497264405,3028681.497264405,0,2202677.4525559307,27600000.0,0.13193478260869565,0.09432228260869566,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,19569397.140174426,5827925.407269641
2034,3803800.0000000005,3803800.0000000005,0,991760.0000000001,2812040.0000000005,1938800.0,720000.0,1200000.0,18800.0,8996506.661872055,5847729.330216836,3148777.331655219,4637693.47333597,3246385.431335179,1391308.042000791,3186262.7760796864,1911757.6656478117,1274505.1104318744,3031910.9460965875,3031910.9460965875,0,2205026.1426156997,27800000.0,0.1368273381294964,0.10115251798561153,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,19780383.373296414,5814590.484087884
2035,3967999.9999999995,3967999.9999999995,0,944725.0,3023274.9999999995,2018000.0,750000.0,1250000.0,18000.0,9005028.591889715,5853268.584728315,3151760.0071614,4577792.677468445,3204454.8742279117,1373337.8032405335,3189280.959627607,1913568.5757765642,1275712.383851043,3034782.9200608716,3034782.9200608716,0,2207114.8509533615,28000000.0,0.1417142857142857,0.10797410714285713,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,19992074.954793666,5800810.194252976
2036,4134000.0,4134000.0,0,897000.0,3237000.0,2097200.0,780000.0,1300000.0,17200.0,9012487.53048563,5858116.89481566,3154370.635669971,4518150.12479498,3162705.087356486,1355445.037438494,3191922.6670469944,1915153.6002281967,1276769.066818798,3037296.6554945447,3037296.6554945447,0,2208943.022177851,28200000.0,0.14659574468085107,0.11478723404255319,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,20204472.23789489,5786584.739927263
