year,total_demand_gwh,vrla_demand_gwh,lithium_demand_gwh,vrla_share_pct,lithium_share_pct,vrla_capex_per_kwh,lithium_capex_per_kwh,vrla_tco_per_kwh,lithium_tco_per_kwh,tco_advantage,region,scenario,tipping_year
2020,8.0,4.2,3.8,52.5,47.5,220.0,347.0,40.856855099063836,35.33432949011397,5.522525608949863,Global,baseline,2020
2021,10.0,4.0483354028241,5.9516645971759,40.483354028241,59.516645971759,220.0,314.0,40.856855099063836,32.260679221092786,8.59617587797105,Global,baseline,2020
2022,14.5,4.341259005979266,10.158740994020734,29.93971728261563,70.06028271738437,220.0,318.0,40.856855099063836,32.633242890065056,8.22361220899878,Global,baseline,2020
2023,18.0,3.8503072932933717,14.14969270670663,21.390596073852063,78.60940392614793,220.0,285.0,40.856855099063836,29.559592621043873,11.297262478019963,Global,baseline,2020
2024,20.5,3.1256804351516525,17.374319564848346,15.24722163488611,84.75277836511388,220.0,255.0,40.856855099063836,26.765365103751893,14.091489995311942,Global,baseline,2020
2025,22.0,2.4673977666156395,19.53260223338436,11.215444393707452,88.78455560629254,220.0,235.39466832859202,40.856855099063836,24.93930652902242,15.917548570041415,Global,baseline,2020
2026,33.0824,2.8718080649053177,30.210591935094683,8.680773054268487,91.31922694573151,220.0,217.2966661863838,40.856855099063836,23.253642009230166,17.60321308983367,Global,baseline,2020
2027,42.0308,3.002809642671178,39.02799035732882,7.144307609351186,92.85569239064881,220.0,200.590104571971,40.856855099063836,21.69757753648596,19.159277562577877,Global,baseline,2020
2028,53.4053,3.3299437519039135,50.075356248096085,6.2352308701644095,93.76476912983559,220.0,185.16800445379107,40.856855099063836,20.261148985664285,20.59570611339955,Global,baseline,2020
2029,67.8433,3.871123038195755,63.972176961804244,5.705976917684952,94.29402308231505,220.0,170.9316117390879,40.856855099063836,18.93515830998433,21.921696789079505,Global,baseline,2020
2030,86.1554,4.653434140272817,81.50196585972718,5.401210069563622,94.59878993043638,220.0,157.7897649105658,40.856855099063836,17.711114642107898,23.145740456955938,Global,baseline,2020
2031,109.3757,5.717123567022622,103.65857643297737,5.2270509510088825,94.77294904899112,220.0,145.65831128144768,40.856855099063836,16.581179923600118,24.275675175463718,Global,baseline,2020
2032,138.8209,7.118842957171218,131.70205704282878,5.128077225526717,94.87192277447328,220.0,134.45956813097737,40.856855099063836,15.538118714595809,25.318736384468025,Global,baseline,2020
2033,176.1645,8.935175806881253,167.22932419311874,5.072063785201475,94.92793621479852,220.0,124.12182526979275,40.856855099063836,14.575251862282114,26.28160323678172,Global,baseline,2020
2034,223.5333,11.267117421753555,212.26618257824643,5.040464853224802,94.9595351467752,220.0,114.57888584989148,40.856855099063836,13.686413731517499,27.17044136754634,Global,baseline,2020
2035,283.6312,14.245899239860767,269.3853007601392,5.022684119328469,94.97731588067153,220.0,105.76964247880322,40.856855099063836,12.865912723716939,27.990942375346897,Global,baseline,2020
2036,359.904,18.040905475234645,341.86309452476536,5.01269935183678,94.98730064816321,220.0,97.63768592365354,40.856855099063836,12.108494831189535,28.7483602678743,Global,baseline,2020
2037,456.7369,22.86928130132676,433.86761869867325,5.007101747488929,94.99289825251107,220.0,90.1309438994889,40.856855099063836,11.409309993551771,29.447545105512063,Global,baseline,2020
2038,579.708,29.00840237976186,550.6995976202381,5.003967925190245,94.99603207480976,220.0,83.20134762887503,40.856855099063836,10.763881040782662,30.092974058281172,Global,baseline,2020
2039,735.9328,36.81294389166284,699.1198561083372,5.002215404947686,94.99778459505231,220.0,76.80452403761149,40.856855099063836,10.168075024050294,30.68878007501354,Global,baseline,2020
2040,934.4491,46.73400695856589,887.7150930414341,5.00123623197517,94.99876376802483,220.0,70.89951161556446,40.856855099063836,9.618076750729134,31.2387783483347,Global,baseline,2020
