year,total_demand_gwh,vrla_demand_gwh,lithium_demand_gwh,vrla_share_pct,lithium_share_pct,vrla_capex_per_kwh,lithium_capex_per_kwh,vrla_tco_per_kwh,lithium_tco_per_kwh,tco_advantage,region,scenario,tipping_year,vrla_installed_base_gwh,lithium_installed_base_gwh,total_installed_base_gwh,new_build_demand_gwh,replacement_demand_gwh,contestable_market_gwh,power_capacity_mw,vrla_power_capacity_mw,lithium_power_capacity_mw,annual_throughput_gwh,cycles_per_year,round_trip_efficiency_pct
2020,3.2,1.6800000000000002,1.52,52.5,47.5,220.0,207.36,625.7014871087308,341.0623811203909,284.6391059883399,USA,accelerated,2020,7.704000000000001,1.52,9.224,0.96,2.2399999999999998,0.0,800.0,420.00000000000006,380.0,2029.28,250,88.0
2021,4.0,1.0368138836087781,2.963186116391222,25.920347090219455,74.07965290978055,220.0,288.36,625.7014871087308,454.2285955707162,171.4728915380146,USA,accelerated,2020,7.200013883608778,4.356519449724555,11.556533333333334,1.66032,1.6674666666666669,1.5408000000000002,1000.0,259.2034709021945,740.7965290978054,2542.4373333333338,250,88.0
2022,5.8,1.295164636173024,4.504835363826976,22.33042476160386,77.66957523839613,220.0,428.76000000000005,625.7014871087308,650.3833672846133,-24.681880175882497,USA,accelerated,2020,7.0551757430600475,8.498311526074485,15.553487269134532,2.0801760000000002,1.8030460641988018,1.4400027767217556,1450.0,323.791159043256,1126.2088409567439,3421.767199209597,250,88.0
2023,7.2,0.6703644939959098,6.52963550600409,9.310617972165414,90.68938202783458,220.0,347.76000000000005,625.7014871087308,537.2171528342881,88.48433427444274,USA,accelerated,2020,6.314505088443948,14.319754404905702,20.63425949334965,2.799627708444216,2.119227775784883,1.4110351486120094,1800.0,167.59112349897745,1632.4088765010224,4539.537088536922,250,88.0
2024,8.2,0.4371644908333337,7.762835509166665,5.33127427845529,94.66872572154472,220.0,252.72000000000003,625.7014871087308,404.4354612125731,221.26602589615771,USA,accelerated,2020,5.4887685615884925,20.889277046996888,26.37804560858538,4.12685189866993,2.4562138847642645,1.2629010176887896,2050.0,109.29112270833342,1940.7088772916663,5803.170033888784,250,88.0
2025,8.8,0.44390737670324715,8.356092623296753,5.044402007991444,94.95559799200855,220.0,224.1425327671601,625.7014871087308,364.5094885543175,261.1919985544133,USA,accelerated,2020,4.834922225974042,27.5045965830439,32.33951880901794,5.53938957780293,2.8385267995674393,1.0977537123176986,2200.0,110.97684417581179,2089.0231558241885,7114.694137983947,250,88.0
2026,13.233,0.6623204980286841,12.570679501971316,5.005066863361929,94.99493313663807,220.0,198.7965930487394,625.7014871087308,329.09832744790003,296.6031596608308,USA,accelerated,2020,4.530258278807918,37.78322636976156,42.31348464856948,7.114694137983947,3.2590341604484667,0.9669844451948084,3308.25,165.58012450717104,3142.669875492829,9308.966622685286,250,88.0
2027,16.81,0.8405854537227563,15.969414546277243,5.000508350522049,94.99949164947795,220.0,176.31676112467096,625.7014871087308,297.6914449747346,328.0100421339962,USA,accelerated,2020,4.464792076769091,50.60403871855867,55.06883079532776,9.308966622685285,4.054653853241714,0.9060516557615836,4202.5,210.14636343068906,3992.3536365693108,12115.142774972108,250,88.0
2028,21.354,1.0677098225926225,20.286290177407377,5.00004599884154,94.99995400115846,220.0,156.3789387772479,625.7014871087308,269.83603905571033,355.8654480530205,USA,accelerated,2020,4.639543484007895,66.6733256694195,71.31286915342739,11.013766159065554,5.109961641900374,0.8929584153538181,5338.5,266.9274556481556,5071.572544351844,15688.831213754023,250,88.0
2029,27.127,1.35635104011407,25.77064895988593,5.000003834239209,94.99999616576079,220.0,138.69567667368247,625.7014871087308,245.13051027307583,380.57097683565496,USA,accelerated,2020,5.067985827320387,86.88786415685381,91.9558499841742,14.262573830685477,6.484019169253203,0.927908696801579,6781.75,339.0877600285175,6442.662239971482,20230.28699651832,250,88.0
2030,34.461,1.723050103266843,32.737949896733156,5.000000299662933,94.99999970033707,220.0,123.01203012620411,625.7014871087308,223.2186718958531,402.4828152128777,USA,accelerated,2020,5.7774387651231525,112.38515870718248,118.16259747230563,18.39116999683484,8.254252511868561,1.0135971654640774,8615.25,430.76252581671076,8184.487474183289,25995.771443907237,250,88.0
2031,43.776,2.1888000097552096,41.58719999024479,5.000000022284379,94.99999997771562,220.0,109.10188348099707,625.7014871087308,203.78461463305098,421.91687247567984,USA,accelerated,2020,6.810751021853731,144.60692880516206,151.41767982701577,23.63251949446113,10.520917645289837,1.1554877530246306,10944.0,547.2000024388024,10396.799997561198,33311.88956194348,250,88.0
2032,55.611,2.780550000887666,52.83044999911233,5.000000001596206,94.9999999984038,220.0,96.76469014363035,625.7014871087308,186.5481520783403,439.1533350303905,USA,accelerated,2020,8.229150818370652,185.3868014038442,193.61595222221484,30.283535965403157,13.412727604800917,1.3621502043707463,13902.75,695.1375002219164,13207.612499778083,42595.50948888726,250,88.0
2033,70.644,3.532200000078599,67.1117999999214,5.00000000011126,94.99999999988874,220.0,85.82258124098905,625.7014871087308,171.2607811818574,454.4407059268734,USA,accelerated,2020,10.115520654775121,237.0497012867786,247.1652219415537,38.72319044444297,17.094730280661146,1.6458301636741304,17661.0,883.0500000196497,16777.949999980352,54376.34882714181,250,88.0
2034,89.742,4.487100000006839,85.25489999999317,5.000000000007621,94.99999999999238,220.0,76.11780123445173,625.7014871087308,157.70209951009156,467.99938759863926,USA,accelerated,2020,12.579516523826936,302.5504595128736,315.12997603670055,49.43304438831075,21.77724590485324,2.023104130955024,22435.5,1121.7750000017097,21313.724999998292,69328.59472807412,250,88.0
2035,114.002,5.700100000000587,108.3018999999994,5.000000000000515,94.99999999999949,220.0,67.51043351280971,625.7014871087308,145.67662764046008,480.02485946827073,USA,accelerated,2020,15.763713219062133,385.63982122013357,401.4035344391957,63.02599520734012,27.728441597504855,2.515903304765387,28500.5,1425.0250000001467,27075.474999999853,88308.77757662306,250,88.0
2036,144.82,7.241000000000071,137.57899999999992,5.000000000000049,94.99999999999996,220.0,59.87638317414586,625.7014871087308,135.01099087811673,490.6904962306141,USA,accelerated,2020,19.851970575249776,491.082169451789,510.9341400270388,80.28070688783914,35.28939441215689,3.1527426438124264,36205.0,1810.2500000000177,34394.74999999998,112405.51080594852,250,88.0
2037,183.97,9.198500000000008,174.7715,5.000000000000004,95.0,220.0,53.10558791385728,625.7014871087308,125.5514196629925,500.15006744573833,USA,accelerated,2020,25.080076460199827,624.9301553308067,650.0102317910065,102.18682800540776,44.893908236032374,3.970394115049955,45992.5,2299.625000000002,43692.875,143002.25099402142,250,88.0
2038,233.703,11.68515000000001,222.01784999999998,5.000000000000004,95.0,220.0,50.54400000000001,625.7014871087308,121.97258994456124,503.72889716416955,USA,accelerated,2020,31.749211168159874,794.8704923865728,826.6197035547326,130.0020463582013,57.093528236273855,5.016015292039965,58425.75,2921.2875000000026,55504.462499999994,181856.33478204117,250,88.0
2039,296.882,14.844100000000013,282.0379,5.000000000000004,95.0,220.0,50.54400000000001,625.7014871087308,121.97258994456124,503.72889716416955,USA,accelerated,2020,40.24346893452791,1010.6691846876918,1050.9126536222198,165.32394071094654,72.58904993251303,6.349842233631975,74220.5,3711.0250000000033,70509.47499999999,231200.78379688837,250,88.0
2040,377.139,18.85695000000002,358.28204999999997,5.000000000000004,95.0,220.0,50.54400000000001,625.7014871087308,121.97258994456124,503.72889716416955,USA,accelerated,2020,51.05172514762235,1284.728802630384,1335.7805277780064,210.18253072444395,92.27112584421323,8.048693786905583,94284.75,4714.237500000005,89570.5125,293871.7161111614,250,88.0
