year,total_demand_gwh,vrla_demand_gwh,lithium_demand_gwh,vrla_share_pct,lithium_share_pct,vrla_capex_per_kwh,lithium_capex_per_kwh,vrla_tco_per_kwh,lithium_tco_per_kwh,tco_advantage,region,scenario,tipping_year,vrla_installed_base_gwh,lithium_installed_base_gwh,total_installed_base_gwh,new_build_demand_gwh,replacement_demand_gwh,contestable_market_gwh,power_capacity_mw,vrla_power_capacity_mw,lithium_power_capacity_mw,annual_throughput_gwh,cycles_per_year,round_trip_efficiency_pct
2020,3.2,1.6800000000000002,1.52,52.5,47.5,220.0,207.36,625.7014871087308,341.0623811203909,284.6391059883399,USA,baseline,2020,7.704000000000001,1.52,9.224,0.96,2.2399999999999998,0.0,800.0,420.00000000000006,380.0,2029.28,250,88.0
2021,4.0,1.343475977752683,2.656524022247317,33.586899443817074,66.41310055618293,220.0,288.36,625.7014871087308,454.2285955707162,171.4728915380146,USA,baseline,2020,7.506675977752683,4.0498573555806505,11.556533333333334,1.66032,1.6674666666666669,1.5408000000000002,1000.0,335.8689944381708,664.1310055618293,2542.4373333333338,250,88.0
2022,5.8,1.7718672317486732,4.028132768251327,30.549435030149542,69.45056496985046,220.0,428.76000000000005,625.7014871087308,650.3833672846133,-24.681880175882497,USA,baseline,2020,7.777208013950819,7.740502010866923,15.517710024817742,2.0801760000000002,1.8388233085155907,1.5013351955505365,1450.0,442.9668079371683,1007.0331920628317,3413.8962054599033,250,88.0
2023,7.2,1.1534125517063885,6.046587448293612,16.01961877369984,83.98038122630015,220.0,347.76000000000005,625.7014871087308,537.2171528342881,88.48433427444274,USA,baseline,2020,7.375178962867044,13.142047624921624,20.517226587788667,2.7931878044671934,2.200483437029074,1.5554416027901639,1800.0,288.3531379265971,1511.6468620734029,4513.789849313507,250,88.0
2024,8.2,0.5855072656794825,7.614492734320517,7.140332508286374,92.85966749171362,220.0,252.72000000000003,625.7014871087308,404.4354612125731,221.26602589615771,USA,baseline,2020,6.485650435973118,19.661369723832006,26.147020159805123,4.103445317557734,2.5702064279835444,1.4750357925734088,2050.0,146.37681641987064,1903.623183580129,5752.344435157127,250,88.0
2025,8.8,0.49684175926699736,8.303158240733003,5.645929082579515,94.35407091742049,220.0,233.28996305883064,625.7014871087308,377.28948927106546,248.41199783766535,USA,baseline,2020,5.685362108045492,26.326080487579006,32.0114425956245,5.490874233559076,2.9355775641806243,1.2971300871946236,2200.0,124.21043981674934,2075.7895601832506,7042.517371037391,250,88.0
2026,13.233,0.6851184383880101,12.547881561611991,5.177347830333334,94.82265216966667,220.0,215.35377834754098,625.7014871087308,352.23059883330683,273.470888275424,USA,baseline,2020,5.233408124824404,36.68012200855941,41.913530133383816,7.04251737103739,3.330912462240682,1.1370724216090984,3308.25,171.27960959700252,3136.970390402998,9220.976629344439,250,88.0
2027,16.81,0.8480800282571097,15.961919971742889,5.045092375116655,94.95490762488335,220.0,198.7965930487394,625.7014871087308,329.09832744790003,296.6031596608308,USA,baseline,2020,5.034806528116633,49.585365146255675,54.62017167437231,9.22097662934444,4.103358459011498,1.0466816249648807,4202.5,212.02000706427742,3990.4799929357223,12016.437768361908,250,88.0
2028,21.354,1.0699939540199446,20.284006045980053,5.01074250266903,94.98925749733097,220.0,183.51238464926317,625.7014871087308,307.74454960297913,317.9569375057517,USA,baseline,2020,5.097839176513251,65.73725743004776,70.83509660656101,10.924034334874463,5.1390750678113,1.0069613056233266,5338.5,267.49848850498614,5071.001511495013,15583.721253443422,250,88.0
2029,27.127,1.3570063407411215,25.769993659258876,5.002419510971068,94.99758048902893,220.0,169.40328203412676,625.7014871087308,288.0325282172239,337.6689588915069,USA,baseline,2020,5.435277681951723,86.02914630346932,91.46442398542104,14.167019321312203,6.497672621139964,1.01956783530265,6781.75,339.25158518528036,6442.498414814719,20122.173276792626,250,88.0
2030,34.461,1.7232288828439088,32.737771117156086,5.000519087791733,94.99948091220827,220.0,156.3789387772479,625.7014871087308,269.83603905571033,355.8654480530205,USA,baseline,2020,6.071451028405287,111.5978218953363,117.66927292374159,18.29288479708421,8.256151061679454,1.0870555363903445,8615.25,430.8072207109772,8184.442779289022,25887.24004322315,250,88.0
2031,43.776,2.1888467454777993,41.58715325452221,5.000106783346581,94.99989321665342,220.0,144.35595461587246,625.7014871087308,253.03856246386988,372.66292464486094,USA,baseline,2020,7.046007568202028,143.88515665858048,150.9311642267825,23.53385458474832,10.514108696959083,1.2142902056810574,10944.0,547.2116863694498,10396.788313630552,33204.85612989215,250,88.0
2032,55.611,2.7805617816503623,52.830438218349634,5.0000211858271975,94.9999788141728,220.0,133.25734140415932,625.7014871087308,237.53253724389526,388.16894986483555,USA,baseline,2020,8.417367836211984,184.72516515538175,193.14253299159373,30.1862328453565,13.39963123518878,1.4092015136404057,13902.75,695.1404454125906,13207.609554587409,42491.35725815062,250,88.0
2033,70.644,3.5322028786378232,67.11179712136219,5.000004074851116,94.99999592514888,220.0,123.01203012620411,625.7014871087308,223.2186718958531,402.4828152128777,USA,baseline,2020,10.266097147607411,236.44319851379544,246.70929566140285,38.62850659831875,17.077237330190876,1.6834735672423968,17661.0,883.0507196594558,16777.94928034055,54276.045045508625,250,88.0
2034,89.742,4.487100684999724,85.25489931500027,5.000000763298928,94.99999923670107,220.0,113.5544158117043,625.7014871087308,210.00530881309817,415.69617829563265,USA,baseline,2020,12.699978403085654,301.9944979526461,314.69447635573175,49.341859132280575,21.756819305671105,2.0532194295214823,22435.5,1121.7751712499312,21313.72482875007,69232.784798261,250,88.0
