year,total_lead_demand_kt,battery_demand_kt,sli_demand_kt,industrial_demand_kt,industrial_motive_kt,industrial_stationary_kt,other_uses_kt,battery_share_pct,sli_share_pct,region,scenario
2020,8171.718006222222,6572.718006222222,3820.7180062222224,2752.0,879.0,1873.0,1599.0,80.43251126895878,46.75538244605355,Global,baseline
2021,8413.338616111112,6760.338616111112,3927.3386161111116,2833.0,918.0,1915.0,1653.0,80.35262723368118,46.67990669709239,Global,baseline
2022,8589.934896555556,6920.934896555556,4034.934896555556,2886.0,919.0,1967.0,1669.0,80.57028347596388,46.97282278790621,Global,baseline
2023,8662.316305666667,6984.316305666666,4138.316305666666,2846.0,918.0,1928.0,1678.0,80.62873784807077,47.77378428168785,Global,baseline
2024,8822.757907222222,7131.7579072222225,4231.7579072222225,2900.0,913.0,1987.0,1691.0,80.8336574823643,47.96411679570339,Global,baseline
2025,8562.998115162776,6888.908115162777,4000.908115162777,2888.0,906.0,1982.0,1674.09,80.44972126017832,46.72321611373755,Global,baseline
2026,8434.299856764,6776.950756764001,3970.9507567640007,2806.0,896.0,1910.0,1657.3491,80.34989118070226,47.080976775795364,Global,baseline
2027,8183.272953463444,6542.497344463443,3935.497344463444,2607.0,877.0,1730.0,1640.775609,79.94964095257794,48.09197208554317,Global,baseline
2028,7974.861675541666,6350.493822631666,3895.4938226316667,2455.0,851.0,1604.0,1624.36785291,79.6313977721793,48.84716476749521,Global,baseline
2029,7817.600860035788,6209.476685654889,3851.476685654889,2358.0,814.0,1544.0,1608.1241743808998,79.42944129314965,49.26673482837876,Global,baseline
2030,7704.008950212424,6111.966017575332,3805.966017575333,2306.0,769.0,1537.0,1592.042932637091,79.33487690726017,49.40240908560199,Global,baseline
2031,7454.567679097943,5878.445175787223,3749.4451757872225,2129.0,756.0,1373.0,1576.12250331072,78.85695628292368,50.297285331520825,Global,baseline
2032,7251.521561052057,5691.160282774445,3688.1602827744446,2003.0,729.0,1274.0,1560.3612782776129,78.48229140407832,50.86050219561593,Global,baseline
2033,7051.40163664817,5506.643971153334,3628.643971153334,1878.0,702.0,1176.0,1544.7576654948366,78.09289918381212,51.4598963175523,Global,baseline
2034,6857.283490187666,5327.973401347777,3576.973401347778,1751.0,674.0,1077.0,1529.3100888398883,77.69801859543603,52.16312562352421,Global,baseline
2035,6699.898863273712,5185.881875322222,3559.881875322222,1626.0,647.0,979.0,1514.0169879514895,77.40239041143214,53.1333673532915,Global,baseline
2036,6538.690288794196,5039.813470722222,3539.813470722222,1500.0,620.0,880.0,1498.8768180719746,77.0768035818931,54.13642968819986,Global,baseline
2037,6378.226447554589,4894.338397663334,3520.3383976633336,1374.0,592.0,782.0,1483.8880498912547,76.73509929299895,55.193060745170484,Global,baseline
2038,6205.84012577012,4736.790956377778,3488.790956377778,1248.0,565.0,683.0,1469.0491693923423,76.32795657606408,56.217867132773314,Global,baseline
2039,6049.945239305086,4595.586561606668,3472.586561606667,1123.0,538.0,585.0,1454.3586776984187,75.96079600440366,57.39864452071534,Global,baseline
2040,5896.480762696657,4456.665671775222,3460.665671775222,996.0,510.0,486.0,1439.8150909214346,75.58178939495158,58.69035804659429,Global,baseline
