year,total_lead_demand_kt,battery_demand_kt,sli_demand_kt,industrial_demand_kt,industrial_motive_kt,industrial_stationary_kt,other_uses_kt,battery_share_pct,sli_share_pct,region,scenario
2020,4075.8,2476.8,0.0,2476.8,879.0,1873.0,1599.0,60.7684380980421,0.0,Global,extended_lifecycles
2021,4202.700000000001,2549.7000000000003,0.0,2549.7000000000003,918.0,1915.0,1653.0,60.66814190877293,0.0,Global,extended_lifecycles
2022,4266.4,2597.4,0.0,2597.4,919.0,1967.0,1669.0,60.88036752297019,0.0,Global,extended_lifecycles
2023,4239.4,2561.4,0.0,2561.4,918.0,1928.0,1678.0,60.418927206680195,0.0,Global,extended_lifecycles
2024,4301.0,2610.0,0.0,2610.0,913.0,1987.0,1691.0,60.683561962334345,0.0,Global,extended_lifecycles
2025,4273.29,2599.2000000000003,0.0,2599.2000000000003,906.0,1982.0,1674.09,60.82432973189277,0.0,Global,extended_lifecycles
2026,4182.7491,2525.4,0.0,2525.4,896.0,1910.0,1657.3491,60.37655952158355,0.0,Global,extended_lifecycles
2027,3987.0756090000004,2346.3,0.0,2346.3,877.0,1730.0,1640.775609,58.847642485226814,0.0,Global,extended_lifecycles
2028,3833.86785291,2209.5,0.0,2209.5,851.0,1604.0,1624.36785291,57.63109436134934,0.0,Global,extended_lifecycles
2029,3730.3241743809003,2122.2000000000003,0.0,2122.2000000000003,814.0,1544.0,1608.1241743808998,56.89049800483383,0.0,Global,extended_lifecycles
2030,3667.442932637091,2075.4,0.0,2075.4,769.0,1537.0,1592.042932637091,56.589837609488704,0.0,Global,extended_lifecycles
2031,3492.22250331072,1916.1000000000001,0.0,1916.1000000000001,756.0,1373.0,1576.12250331072,54.86763796360301,0.0,Global,extended_lifecycles
2032,3363.061278277613,1802.7,0.0,1802.7,729.0,1274.0,1560.3612782776129,53.60294835077315,0.0,Global,extended_lifecycles
2033,3234.957665494837,1690.2,0.0,1690.2,702.0,1176.0,1544.7576654948366,52.24797894662581,0.0,Global,extended_lifecycles
2034,3105.210088839888,1575.9,0.0,1575.9,674.0,1077.0,1529.3100888398883,50.75018935639098,0.0,Global,extended_lifecycles
2035,2977.4169879514893,1463.4,0.0,1463.4,647.0,979.0,1514.0169879514895,49.14998490039659,0.0,Global,extended_lifecycles
2036,2848.8768180719744,1350.0,0.0,1350.0,620.0,880.0,1498.8768180719746,47.387096256188265,0.0,Global,extended_lifecycles
2037,2720.488049891255,1236.6000000000001,0.0,1236.6000000000001,592.0,782.0,1483.8880498912547,45.45507928437437,0.0,Global,extended_lifecycles
2038,2592.249169392342,1123.2,0.0,1123.2,565.0,683.0,1469.0491693923423,43.32916809317729,0.0,Global,extended_lifecycles
2039,2465.0586776984187,1010.7,0.0,1010.7,538.0,585.0,1454.3586776984187,41.001052394569065,0.0,Global,extended_lifecycles
2040,2336.2150909214347,896.4,0.0,896.4,510.0,486.0,1439.8150909214346,38.369754714941415,0.0,Global,extended_lifecycles
