year,total_lead_demand_kt,battery_demand_kt,sli_demand_kt,industrial_demand_kt,industrial_motive_kt,industrial_stationary_kt,other_uses_kt,battery_share_pct,sli_share_pct,region,scenario
2020,5115.261449888889,3516.261449888889,764.2614498888888,2752.0,879.0,1873.0,1599.0,68.74060073635664,14.940809133138048,China,baseline
2021,5312.121579444444,3659.1215794444443,826.1215794444444,2833.0,918.0,1915.0,1653.0,68.88248931657782,15.551631623816153,China,baseline
2022,5390.746248666666,3721.746248666667,835.7462486666669,2886.0,919.0,1967.0,1669.0,69.03953695811957,15.503349816797227,China,baseline
2023,5387.546650666667,3709.5466506666667,863.5466506666667,2846.0,918.0,1928.0,1678.0,68.85409800038835,16.028569340737114,China,baseline
2024,5488.1481724451205,3797.14817244512,897.1481724451199,2900.0,913.0,1987.0,1691.0,69.18814968425654,16.347010763111662,China,baseline
2025,5388.278899582222,3714.1888995822223,826.1888995822222,2888.0,906.0,1982.0,1674.09,68.93089553828034,15.333076015168414,China,baseline
2026,5292.788044857778,3635.4389448577776,829.4389448577779,2806.0,896.0,1910.0,1657.3491,68.6866527441959,15.671115824553402,China,baseline
2027,5079.005609433333,3438.2300004333333,831.2300004333333,2607.0,877.0,1730.0,1640.775609,67.69494394822962,16.36599886579125,China,baseline
2028,4911.15273293,3286.78488002,831.78488002,2455.0,851.0,1604.0,1624.36785291,66.92491679156352,16.936652660846,China,baseline
2029,4797.456911854233,3189.3327374733335,831.3327374733335,2358.0,814.0,1544.0,1608.1241743808998,66.47965361799666,17.328612903623153,China,baseline
2030,4728.289580077091,3136.24664744,830.2466474400001,2306.0,769.0,1537.0,1592.042932637091,66.32941139338733,17.559132819154947,China,baseline
2031,4526.574363744054,2950.4518604333334,821.4518604333333,2129.0,756.0,1373.0,1576.12250331072,65.18067799935432,18.147318356521776,China,baseline
2032,4375.740488146502,2815.379209868889,812.379209868889,2003.0,729.0,1274.0,1560.3612782776129,64.34063485929993,18.56552535666942,China,baseline
2033,4229.731770691504,2684.9741051966666,806.9741051966666,1878.0,702.0,1176.0,1544.7576654948366,63.47859038725072,19.07861181147043,China,baseline
2034,4088.207726353222,2558.8976375133334,807.8976375133333,1751.0,674.0,1077.0,1529.3100888398883,62.59216284481539,19.761658203067807,China,baseline
2035,3952.971326100378,2438.954338148889,812.954338148889,1626.0,647.0,979.0,1514.0169879514895,61.69926713217338,20.565652292521726,China,baseline
2036,3817.3357986119745,2318.45898054,818.45898054,1500.0,620.0,880.0,1498.8768180719746,60.73500218091941,21.440581172806457,China,baseline
2037,3681.021585774588,2197.1335358833335,823.1335358833334,1374.0,592.0,782.0,1483.8880498912547,59.68814593139628,22.361551452573824,China,baseline
2038,3547.0509921956755,2078.001822803333,830.0018228033333,1248.0,565.0,683.0,1469.0491693923423,58.58392866004502,23.39977137711094,China,baseline
2039,3440.371723462863,1986.0130457644445,863.0130457644445,1123.0,538.0,585.0,1454.3586776984187,57.72669947901583,25.084877889177328,China,baseline
2040,3323.867259419212,1884.0521684977775,888.0521684977776,996.0,510.0,486.0,1439.8150909214346,56.682533370089594,26.717437827314118,China,baseline
