year,total_lead_demand_kt,battery_demand_kt,sli_demand_kt,industrial_demand_kt,industrial_motive_kt,industrial_stationary_kt,other_uses_kt,battery_share_pct,sli_share_pct,region,scenario
2020,6826.716964480001,5227.716964480001,2750.9169644800004,2476.8,879.0,1873.0,1599.0,76.57732101213898,40.29633832475053,Global,extended_lifecycles
2021,7030.3838036,5377.3838036,2827.6838036,2549.7000000000003,918.0,1915.0,1653.0,76.48777013918415,40.22090233753735,Global,extended_lifecycles
2022,7171.55312552,5502.55312552,2905.1531255200007,2597.4,919.0,1967.0,1669.0,76.72749583265504,40.509399772582064,Global,extended_lifecycles
2023,7218.98774008,5540.98774008,2979.58774008,2561.4,918.0,1928.0,1678.0,76.75574387412098,41.274315005928806,Global,extended_lifecycles
2024,7347.8656932,5656.8656932,3046.8656932000004,2610.0,913.0,1987.0,1691.0,76.98651457980625,41.46599598329196,Global,extended_lifecycles
2025,7153.9438429172005,5479.8538429172,2880.6538429171997,2599.2000000000003,906.0,1982.0,1674.09,76.59906148609984,40.2666543960812,Global,extended_lifecycles
2026,7041.833644870079,5384.48454487008,2859.0845448700798,2525.4,896.0,1910.0,1657.3491,76.46423952080485,40.60142129249106,Global,extended_lifecycles
2027,6820.633697013681,5179.858088013681,2833.5580880136804,2346.3,877.0,1730.0,1640.775609,75.94394184050095,41.54391239708877,Global,extended_lifecycles
2028,6638.623405204799,5014.2555522948,2804.7555522947996,2209.5,851.0,1604.0,1624.36785291,75.53155596028438,42.24905347237834,Global,extended_lifecycles
2029,6503.38738805242,4895.26321367152,2773.06321367152,2122.2000000000003,814.0,1544.0,1608.1241743808998,75.2725144847555,42.64028956303606,Global,extended_lifecycles
2030,6407.738465291331,4815.695532654239,2740.2955326542397,2075.4,769.0,1537.0,1592.042932637091,75.1543709022976,42.7654085368425,Global,extended_lifecycles
2031,6191.823029877521,4615.7005265668,2699.6005265668,1916.1000000000001,756.0,1373.0,1576.12250331072,74.54509769246592,43.599445810068644,Global,extended_lifecycles
2032,6018.536681875213,4458.1754035976,2655.4754035976002,1802.7,729.0,1274.0,1560.3612782776129,74.074075464612,44.12161201234427,Global,extended_lifecycles
2033,5847.581324725237,4302.8236592304,2612.6236592304003,1690.2,702.0,1176.0,1544.7576654948366,73.58296396899753,44.678705846868425,Global,extended_lifecycles
2034,5680.63093781029,4151.320848970401,2575.4208489704006,1575.9,674.0,1077.0,1529.3100888398883,73.07851705942032,45.33688030722776,Global,extended_lifecycles
2035,5540.53193818349,4026.5149502320005,2563.1149502320004,1463.4,647.0,979.0,1514.0169879514895,72.67379730243243,46.26117092779253,Global,extended_lifecycles
2036,5397.5425169919745,3898.66569892,2548.66569892,1350.0,620.0,880.0,1498.8768180719746,72.23038422850087,47.21900181233514,Global,extended_lifecycles
2037,5255.131696208855,3771.2436463176,2534.6436463175996,1236.6000000000001,592.0,782.0,1483.8880498912547,71.76306635737106,48.23178167249617,Global,extended_lifecycles
2038,5104.178657984343,3635.1294885920006,2511.9294885920003,1123.2,565.0,683.0,1469.0491693923423,71.21869613450258,49.21319681204046,Global,extended_lifecycles
2039,4965.321002055219,3510.9623243568003,2500.2623243568005,1010.7,538.0,585.0,1454.3586776984187,70.70967461929575,50.35449517406639,Global,extended_lifecycles
2040,4827.894374599595,3388.0792836781598,2491.6792836781597,896.4,510.0,486.0,1439.8150909214346,70.17716256394182,51.610062075660245,Global,extended_lifecycles
