Year,Market,EV,ICE,EV_Share,ICE_Share,EV_Cost,ICE_Cost
2010,11514.636363636237,0.00017041124662940638,11514.63619322499,1.4799533502210553e-06,99.99999852004665,7899.999999999996,5049.999999999998
2011,13133.545454545412,0.000871107405201687,13133.544583438006,6.632690374556886e-06,99.99999336730961,7899.999999999996,5100.000000000005
2012,14752.454545454588,0.004385262758420898,14752.45016019183,2.9725648331328372e-05,99.99997027435167,7899.999999999996,5200.000000000001
2013,16371.363636363298,0.021810087807648402,16371.34182627549,0.00013322096003783623,99.99986677903996,7899.999999999996,5309.999999999996
2014,17990.272727272473,0.10741125497048742,17990.1653160175,0.000597051843509057,99.99940294815647,7899.999999999996,5419.999999999997
2015,19609.18181818165,0.5246905096804187,19608.65712767197,0.0026757389193766633,99.99732426108064,7899.999999999996,5499.999999999999
2016,21228.090909090824,2.545373069510542,21225.545536021313,0.01199058869877224,99.98800941130122,7799.999999999996,5650.000000000004
2017,22847.0,12.271849061238928,22834.72815093876,0.053713174864266335,99.94628682513573,7500.000000000001,5820.000000000004
2018,24465.90909090871,58.77361611609677,24407.135474792613,0.24022657771558736,99.75977342228441,7199.999999999996,5990.000000000001
2019,26084.818181817885,278.2487448681131,25806.569436949772,1.0667076263620003,98.93329237363801,6799.999999999999,6170.000000000003
2020,27703.72727272706,1271.9311939007464,26431.796078826315,4.5911915800329846,95.40880841996702,6499.999999999995,6350.000000000002
2021,29322.636363636237,5123.512993607211,24199.123370029025,17.47289339904311,82.52710660095688,6199.999999999998,6669.999999999999
2022,30941.545454545412,14457.340507177012,16484.204947368402,46.724687777524,53.27531222247601,5999.999999999995,6999.999999999999
2023,32560.454545454588,24285.597695263943,8274.856850190645,74.58617526779642,25.413824732203587,5799.999999999996,7350.000000000001
2024,34179.3636363633,29405.492453773964,4773.871182589333,86.03288453998474,13.967115460015265,5600.000000000005,7570.000000000006
2025,84333.4,75127.08548710223,9206.314512897763,89.08343015590766,10.916569844092333,5400.000000000003,7685.000000000003
2026,80116.73,71939.90009305955,8176.829906940446,89.79385465814637,10.206145341853626,5198.408769953849,7903.158733464515
2027,76110.89349999999,68464.73283053584,7646.160669464152,89.95392076238844,10.046079237611568,5004.343285098726,8127.510470570776
2028,72305.348825,65067.37678869407,7237.972036305924,89.98971424116364,10.010285758836355,4817.522596503121,8358.231015851114
2029,68690.08138374997,61819.49662474014,6870.584759009835,89.99770473319717,10.002295266802829,4637.676243539379,8595.50116450718
2030,65255.577314562484,58729.68537445073,6525.891940111753,89.99948784660367,10.00051215339632,4464.543862337363,8839.50684408319
2031,61992.79844883435,55793.447760208444,6199.350688625906,89.99988572262546,10.00011427737454,4297.874808855216,9090.439260160754
2032,58893.15852639263,53003.82765673173,5889.330869660902,89.99997450124596,10.00002549875404,4137.427796021611,9348.495046189739
2033,55948.500600073,50353.64735685208,5594.853243220918,89.99999431045768,10.000005689542316,3982.9705444239917,9613.876417572434
2034,53151.07557006935,47835.96733830496,5315.108231764389,89.99999873049144,10.00000126950856,3834.2794460373193,9886.791330121827
2035,51987.3636363633,46788.62712546462,5198.736510898678,89.99999971673435,10.000000283265658,3691.1392405063348,10167.453643018027
2036,53606.27272727247,48245.64542066333,5360.627306609145,89.99999993679491,10.0000000632051,3553.342703512761,10456.083286390824
2037,55225.18181818165,49702.6636285751,5522.518189606548,89.99999998589703,10.000000014102955,3420.690346776342,10752.906433659331
2038,56844.090909090824,51159.68181639297,5684.409092697853,89.99999999685319,10.000000003146802,3292.990129255302,11058.155678764018
2039,58463.0,52616.69999958951,5846.300000410491,89.99999999929787,10.000000000702137,3170.057179128187,11372.070218429953
2040,60081.90909090871,54073.71818172371,6008.190909185003,89.99999999984333,10.000000000156673,3051.713526154651,11694.896039603953
