Year,Market,EV,ICE,EV_Share,ICE_Share,EV_Cost,ICE_Cost
2010,906248.7777777612,57523.72165489054,848725.0561228707,6.347453708676564,93.65254629132343,3499.9999999999995,1665.0000000000005
2011,982467.6666666567,70701.6048723559,911766.0617943008,7.196328924720165,92.80367107527984,3499.9999999999995,1680.0
2012,1058686.5555555522,86258.29889158109,972428.2566639711,8.147671134476296,91.8523288655237,3499.9999999999995,1709.9999999999995
2013,1134905.4444444478,104533.75027093616,1030371.6941735116,9.210789390662136,90.78921060933787,3399.999999999999,1740.0000000000005
2014,1211124.3333333433,125896.47113780849,1085227.8621955349,10.395007983309789,89.60499201669022,3200.0000000000027,1769.9999999999998
2015,1287343.222222209,150740.3303519068,1136602.8918703021,11.709412668650959,88.29058733134903,2799.9999999999995,1800.0000000000005
2016,1363562.1111111045,179479.37072173491,1184082.7403893697,13.16253724412197,86.83746275587804,2600.0,1849.9999999999995
2017,1439781.0,212540.3385030973,1227240.6614969028,14.761990782146542,85.23800921785346,2400.0000000000005,1900.0000000000005
2018,1515999.8888888955,250352.69185677083,1265647.1970321247,16.51403101620667,83.48596898379334,2199.9999999999995,1950.0000000000005
2019,1592218.7777777612,293335.9948931356,1298882.7828846257,18.42309605860451,81.5769039413955,1999.9999999999998,2010.0000000000005
2020,1668437.6666666567,341884.80997694534,1326552.8566897113,20.491314527799602,79.5086854722004,1800.0000000000005,2070.0
2021,1744656.5555555522,396351.4708388908,1348305.0847166614,22.718022614638922,77.28197738536107,1599.9999999999998,2170.000000000001
2022,1820875.4444444478,457027.4374042272,1363848.0070402205,25.099324547356233,74.90067545264377,1399.9999999999998,2279.999999999999
2023,1897094.3333333433,524124.26864789973,1372970.0646854434,27.62773887616713,72.37226112383286,1200.0,2389.999999999999
2024,1973313.222222209,597755.5544687086,1375557.6677535004,30.29197533048289,69.70802466951712,999.9999999999998,2459.9999999999995
2025,2130791.1,704799.3034342944,1425991.7965657057,33.07688414102604,66.92311585897396,950.0000000000001,2495.0000000000005
2026,2125751.0,764496.8122384823,1361254.1877615177,35.963610612836696,64.0363893871633,859.327377780225,2563.191007531775
2027,2201969.8888888955,857226.2673936794,1344743.6214952162,38.92997228160245,61.07002771839755,777.3089917922493,2633.245747932567
2028,2278188.777777761,955724.2352960248,1322464.5424817363,41.95105535671532,58.04894464328467,703.1188396229726,2705.2151590068293
2029,2354407.6666666567,1059483.5406170716,1294924.1260495852,45.00000384882692,54.99999615117308,636.009756548509,2779.1515707434646
2030,2430626.5555555522,1167890.5944061645,1262735.9611493878,48.0489523056012,51.9510476943988,575.3058908815462,2855.1087433657135
2031,2506845.4444444478,1280246.8527923534,1226598.5916520944,51.070035275991025,48.929964724008975,520.3958975081636,2933.1419064209786
2032,2583064.3333333433,1395794.8920984236,1187269.4412349197,54.0363967744158,45.9636032255842,470.7267810666072,3013.3077989390245
2033,2659283.222222209,1513747.059935527,1145536.162286682,56.92312301623053,43.07687698376948,425.7983267630455,3095.6647106877213
2034,2735502.1111111045,1633314.4634122094,1102187.647698895,59.708031544848296,40.2919684551517,385.1580627373634,3180.272524556404
2035,2811721.0,1753734.1483736057,1057986.8516263943,62.37226767426802,37.62773232573197,348.3967032452732,3267.192760097532
2036,2887939.8888888955,1874292.673382069,1013647.2155068265,64.90068164483796,35.09931835516205,315.14402676530085,3356.4886182584846
2037,2964158.777777761,1994344.8107587441,969813.9670190171,67.28198319571499,32.718016804285014,285.0651475192916,3448.225027335828
2038,3040377.6666666567,2113326.714105477,927050.9525611796,69.508690886499,30.491309113501007,257.857142857143,3542.4686901856558
2039,3116596.5555555522,2230763.4790354366,885833.0765201156,71.57690895406222,28.423091045937788,233.24600254034667,3639.28813272414
2040,3192815.4444444478,2346271.5145012857,846543.929943162,73.48597359687162,26.514026403128394,210.98386920075345,3738.7537537537582
