Year,Market,EV,ICE,EV_Share,ICE_Share,EV_Cost,ICE_Cost
2010,1950863.0,99629.95603122155,1851233.0439687786,5.106968353555404,94.8930316464446,5049.999999999998,1110.0
2011,1950863.0,110737.74253852993,1840125.25746147,5.6763464445494085,94.32365355545059,5049.999999999998,1119.9999999999998
2012,1950863.0,122991.97158782383,1827871.028412176,6.304490453087881,93.69550954691212,5049.999999999998,1140.0000000000005
2013,1950863.0,136489.74023209114,1814373.2597679088,6.996377512520927,93.00362248747908,4900.000000000004,1160.0
2014,1950863.0,151331.53033458264,1799531.4696654174,7.757158259425835,92.24284174057416,4699.999999999997,1179.9999999999995
2015,1950863.0,167620.1444033446,1783242.8555966555,8.59210228516019,91.40789771483982,3999.9999999999995,1200.0
2016,1950863.0,185459.33078331326,1765403.6692166869,9.506527664080627,90.49347233591938,3800.0000000000014,1229.9999999999998
2017,1950863.0,204952.06572461972,1745910.9342753803,10.505712893453806,89.4942871065462,3499.9999999999995,1270.0000000000002
2018,1950863.0,226198.467628515,1724664.532371485,11.594789979025437,88.40521002097455,3200.0000000000027,1309.9999999999998
2019,1950863.0,249293.3310424587,1701569.6689575412,12.778618029172664,87.22138197082732,2999.9999999999977,1350.0000000000005
2020,1950863.0,274323.2854199012,1676539.7145800989,14.061637614732616,85.93836238526738,2799.9999999999995,1390.0
2021,1950863.0,301363.6066834072,1649499.3933165928,15.447707331750472,84.55229266824954,2499.9999999999995,1460.0000000000002
2022,1950863.0,330474.73816475377,1620388.2618352463,16.939925467075533,83.06007453292447,2199.9999999999995,1530.0
2023,1950863.0,361698.61079157033,1589164.3892084297,18.54044137346243,81.45955862653757,1999.9999999999998,1599.9999999999998
2024,1950863.0,395054.8888129778,1555808.1111870222,20.25026302784859,79.74973697215141,1800.0000000000005,1649.9999999999998
2025,1950863.0,430537.30424935266,1520325.6957506472,22.069069137574125,77.93093086242587,1649.9999999999998,1674.9999999999998
2026,1950863.0,468110.2769130328,1482752.7230869671,23.99503588478703,76.00496411521297,1513.9590960330193,1721.581551930017
2027,1950863.0,507706.04269632936,1443156.9573036707,26.024689724308132,73.97531027569187,1389.1346330067365,1769.458531310905
2028,1950863.0,549222.5257967901,1401640.4742032099,28.15279831524767,71.84720168475232,1274.6018262151752,1818.666963826886
2029,1950863.0,592522.1857489968,1358340.8142510033,30.372311420586517,69.62768857941349,1169.5121385568245,1869.2438770322046
2030,1950863.0,637432.0436811973,1313430.9563188027,32.67436225307453,67.32563774692547,1073.0869939934141,1921.2273282130059
2031,1950863.0,683745.0422099719,1267117.957790028,35.04833718256853,64.95166281743147,984.6120093279139,1974.656433024064
2032,1950863.0,731222.8207529851,1219640.179247015,37.48201799680373,62.51798200319627,903.4317015668748,2029.5713949218866
2033,1950863.0,779599.8970712643,1171263.1029287358,39.96179624459864,60.03820375540136,828.9446316556105,2086.013535416353
2034,1950863.0,828589.1442060553,1122273.8557939446,42.472953980164434,57.52704601983556,760.5989486077286,2144.025325163644
2035,1950863.0,877888.35,1072974.65,45.0,54.99999999999999,697.8883010168612,2203.650415923872
2036,1950863.0,927187.5557939447,1023675.4442060553,47.527046019835566,52.47295398016443,640.3480856603072,2264.9336734074313
2037,1950863.0,976176.8029287355,974686.1970712645,50.038203755401355,49.961796244598645,587.5520054016681,2327.921211034818
2038,1950863.0,1024553.8792470151,926309.1207529849,52.51798200319628,47.48201799680372,539.1089108910892,2392.6604246352995
2039,1950863.0,1072031.657790028,878831.342209972,54.95166281743147,45.04833718256853,494.6599026642535,2459.200028110551
2040,1950863.0,1118344.6563188026,832518.3436811974,57.32563774692547,42.674362253074534,453.87567217051793,2527.5900900900897
