Year,Market,EV,ICE,EV_Share,ICE_Share
2010,2868626.4141413975,157153.67785652334,2711472.7362848744,5.478359854800426,94.52164014519958
2011,2946464.212121202,181439.34828199324,2765024.863839209,6.157867030442309,93.8421329695577
2012,3024302.010101007,209250.27486466768,2815051.7352363393,6.918960942583874,93.08103905741612
2013,3102139.808080811,241023.51231311512,2861116.2957676956,7.769588968403982,92.230411031596
2014,3179977.6060606157,277228.1088836461,2902749.49717697,8.717926451912303,91.28207354808771
2015,3257815.4040403906,318360.9994457611,2939454.4045946295,9.772223406241038,90.22777659375896
2016,3335653.2020201953,364941.2468781177,2970711.955142078,10.940623163615921,89.05937683638409
2017,3413491.0,417504.67607677827,2995986.323923222,12.231017339046105,87.7689826609539
2018,3491328.797979804,476609.9331014019,3014718.864878402,13.651247438430428,86.34875256156957
2019,3569166.595959579,542907.5746804625,3026259.0212791166,15.211046054702315,84.78895394529769
2020,3647004.393939384,617480.0265907473,3029524.3673486365,16.931156639593848,83.06884336040615
2021,3724842.1919191885,702838.5905159053,3022003.601403283,18.86894945618554,81.13105054381445
2022,3802679.989898993,801959.516076158,3000720.4738228354,21.089324324065977,78.91067567593403
2023,3880517.787878798,910108.4771347339,2970409.310744064,23.45327419906572,76.54672580093428
2024,3958355.5858585723,1022215.9357354604,2936139.650123112,25.824257411016312,74.1757425889837
2025,4165987.5,1210463.6931707493,2955523.8068292504,29.05586474205094,70.94413525794906
2026,4156730.73,1304546.9892445747,2852183.7407554253,31.38396672724997,68.61603327275003
2027,4228943.782388896,1433397.0429205445,2795546.739468351,33.894918369211105,66.1050816307889
2028,4301357.126602761,1570014.137881509,2731342.988721252,36.500436761490576,63.49956323850942
2029,4373960.748050407,1713825.2229908085,2660135.5250595985,39.1824554839617,60.81754451603831
2030,4446745.132870114,1864052.3234618125,2582692.8094083024,41.919477455157754,58.08052254484225
2031,4519701.242893282,2019785.3427625336,2499915.9001307483,44.688470193431854,55.31152980656814
2032,4592820.491859736,2180021.5405081403,2412798.9513515956,47.46585555372753,52.53414444627248
2033,4666094.722822282,2343700.6043636436,2322394.118458639,50.228311759304766,49.771688240695234
2034,4739516.186681174,2509739.57495657,2229776.611724604,52.95349727909684,47.046502720903156
2035,4814571.363636363,2678411.12549907,2136160.2381372927,55.63135164489725,44.368648355102735
2036,4892409.161616168,2849725.874596677,2042683.287019491,58.247905693466016,41.752094306533984
2037,4970246.959595943,3020224.277316055,1950022.682279888,60.76608067703712,39.23391932296289
2038,5048084.757575748,3189040.2751688855,1859044.4824068625,63.173271217030134,36.82672878296987
2039,5125922.555555552,3355411.836825054,1770510.718730498,65.45966702498086,34.54033297501914
2040,5203760.353535356,3518689.889001812,1685070.4645335444,67.61821548164238,32.381784518357634
